country_id,country_name,continent_id
128,"the Loyalty Islands",8
129,"South Sandwich Islands",9
130,"Solomon Islands",8
131,Russia,10
132,"South Shetland Islands",9
133,Philippines,11
134,Indonesia,11
135,Chile,12
136,Mongolia,11
137,"Papua New Guinea",8
138,Vanuatu,8
139,Tonga,8
140,Greece,10
141,US,13
142,Fiji,8
143,Australia,8
144,"Kermadec Islands",8
145,Panama,13
146,"New Zealand",8
147,Mexico,13
148,Japan,11
149,Taiwan,11
150,"El Salvador",13
151,"New Caledonia",8
152,Peru,12
153,Venezuela,12
154,China,11
155,Brazil,12
156,Ecuador,12
157,Argentina,12
158,Bolivia,12
159,Nicaragua,13
160,"Prince Edward Islands region",14
161,Honduras,13
162,"Bouvet Island region",9
163,"Costa Rica",13
164,Iraq,11
165,"Svalbard and Jan Mayen",10
166,Canada,13
167,Jamaica,13
168,Turkey,11
169,Cyprus,10
170,Guatemala,13
171,"Timor Leste",11
172,Afghanistan,11
173,"South Sandwich Islands region",9
174,Botswana,14
175,Haiti,13
176,Barbados,13
177,Nepal,11
178,"Wallis and Futuna",8
179,Mauritius,14
180,Guam,11
181,Micronesia,8
182,Tajikistan,11
183,Italy,10
184,Okhotsk,11
185,"Northern Mariana Islands",8
186,Myanmar,11
187,Iran,11
188,Colombia,12
189,Pakistan,11
190,India,11
191,Kyrgyzstan,11
192,Martinique,13
193,Samoa,8
194,"Macquarie Island",8
195,"Cayman Islands",13
196,Zimbabwe,14
197,"Democratic Republic",14
198,"Kuril Islands",11
199,"Afghanistan-Tajikistan-Pakistan region",11
200,Algeria,14
