event_id,distance_from_location,direction_from_location,time_hour,magnitude,year,month,day,cdi,mmi,alert,tsunami,sig,nst,dmin,gap,depth,location_id,magType_id,net_id
1,NULL,NULL,13,7.7,2021,2,10,9,4,green,1,918,0,7.989000,15,10.000000,1024,16,16
2,131,S,23,6.6,2019,8,27,0,4,green,1,670,0,12.896000,19,16.000000,1025,16,16
3,18,SW,2,7.0,2022,11,22,8,7,green,1,768,117,0.509000,17,14.000000,1026,16,16
4,269,WNW,11,6.7,2018,10,13,0,3,green,1,691,0,2.705000,17,461.000000,1027,16,16
5,NULL,NULL,23,6.9,2021,1,23,9,5,green,1,739,0,1.550000,16,15.000000,1028,16,16
6,211,SE,12,7.0,2021,1,21,7,5,green,1,802,0,2.821000,15,80.000000,1029,16,16
7,152,SW,12,6.9,2019,8,2,4,6,green,0,875,0,2.839000,23,49.000000,1030,16,16
8,96,SW,18,6.8,2019,8,1,6,6,green,1,947,0,0.817000,35,25.000000,1031,16,16
9,154,S,23,6.5,2018,10,10,0,4,green,1,650,0,3.923000,14,20.000000,1032,16,16
10,29,SSW,21,6.7,2021,1,11,8,8,green,0,776,0,2.043000,22,10.000000,1033,16,16
11,204,SW,13,6.9,2022,11,18,4,4,green,0,735,99,2.229000,34,25.000000,1034,16,16
12,119,E,20,7.0,2018,10,10,6,6,green,1,758,0,1.778000,18,39.000000,1035,16,16
13,146,WNW,21,6.7,2020,12,27,5,5,green,1,776,0,1.319000,19,10.000000,1036,16,16
14,62,E,15,6.6,2019,7,31,0,4,green,1,670,0,6.024000,30,181.000000,1037,16,16
15,205,ESE,10,7.3,2022,11,11,5,5,green,1,833,149,1.865000,21,37.000000,1038,16,16
16,13,NNE,11,7.0,2020,10,30,8,7,orange,0,1527,0,1.518000,18,21.000000,1039,16,16
17,93,NNE,9,7.2,2019,7,14,7,7,green,1,809,0,1.504000,38,18.980000,1040,16,16
18,99,SE,20,7.6,2020,10,19,9,7,yellow,1,1165,0,0.230000,36,28.370000,1041,16,16
19,279,E,10,6.7,2018,9,30,2,3,green,1,691,0,3.745000,23,550.000000,1042,16,16
20,200,W,5,6.6,2019,7,14,5,5,green,0,791,0,2.978000,32,10.000000,1043,16,16
21,134,WSW,15,6.9,2019,7,7,7,5,green,0,747,0,1.205000,21,35.000000,1044,16,16
22,72,N,10,7.5,2018,9,28,8,8,red,0,2026,0,1.649000,13,20.000000,1045,16,16
