event_id,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,distance_from_location,direction_from_location,location,date_time,day,month,year,City,Country,Continent,time_hour
1,"M 7.7 - southeast of the Loyalty Islands",7.7,9,4,green,1,918,us,0,7.989,15,mww,10,-23.2787,171.489,NULL,NULL,"the Loyalty Islands","10-02-2021 13:19",10,2,2021,"the Loyalty Islands","the Loyalty Islands",Oceania,13
2,"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,0,4,green,1,670,us,0,12.896,19,mww,16,-60.2152,-26.5801,131,S,"Bristol Island, South Sandwich Islands","27-08-2019 23:55",27,8,2019,"Bristol Island","South Sandwich Islands",Antarctica,23
3,"M 7.0 - 18 km SW of Malango, Solomon Islands",7,8,7,green,1,768,us,117,0.509,17,mww,14,-9.7963,159.596,18,SW,"Malango, Solomon Islands","22-11-2022 02:03",22,11,2022,Malango,"Solomon Islands",Oceania,2
4,"M 6.7 - 269 km WNW of Ozernovskiy, Russia",6.7,0,3,green,1,691,us,0,2.705,17,mww,461,52.8549,153.243,269,WNW,"Ozernovskiy, Russia","13-10-2018 11:10",13,10,2018,Ozernovskiy,Russia,Europe,11
5,"M 6.9 - South Shetland Islands",6.9,9,5,green,1,739,us,0,1.55,16,mww,15,-61.8484,-55.559,NULL,NULL,"South Shetland Islands","23-01-2021 23:36",23,1,2021,"South Shetland Islands","South Shetland Islands",Antarctica,23
6,"M 7.0 - 211 km SE of Pondaguitan, Philippines",7,7,5,green,1,802,us,0,2.821,15,mww,80,5.0074,127.517,211,SE,"Pondaguitan, Philippines","21-01-2021 12:23",21,1,2021,Pondaguitan,Philippines,Asia,12
7,"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,4,6,green,0,875,us,0,2.839,23,mww,49,-7.2822,104.791,152,SW,"Labuan, Indonesia","02-08-2019 12:03",2,8,2019,Labuan,Indonesia,Asia,12
8,"M 6.8 - 96 km SW of San Antonio, Chile",6.8,6,6,green,1,947,us,0,0.817,35,mww,25,-34.2364,-72.3102,96,SW,"San Antonio, Chile","01-08-2019 18:28",1,8,2019,"San Antonio",Chile,"South America",18
9,"M 6.5 - 154 km S of Severo-Kuril'sk, Russia",6.5,0,4,green,1,650,us,0,3.923,14,mww,20,49.2902,156.297,154,S,"Severo-Kuril'sk, Russia","10-10-2018 23:16",10,10,2018,Severo-Kuril'sk,Russia,Europe,23
10,"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,8,8,green,0,776,us,0,2.043,22,mww,10,51.2407,100.443,29,SSW,"Turt, Mongolia","11-01-2021 21:32",11,1,2021,Turt,Mongolia,Asia,21
11,"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,4,4,green,0,735,us,99,2.229,34,mww,25,-4.9559,100.738,204,SW,"Bengkulu, Indonesia","18-11-2022 13:37",18,11,2022,Bengkulu,Indonesia,Asia,13
12,"M 7.0 - 119 km E of Kimbe, Papua New Guinea",7,6,6,green,1,758,us,0,1.778,18,mww,39,-5.7012,151.205,119,E,"Kimbe, Papua New Guinea","10-10-2018 20:48",10,10,2018,Kimbe,"Papua New Guinea",Oceania,20
13,"M 6.7 - 146 km WNW of Corral, Chile",6.7,5,5,green,1,776,us,0,1.319,19,mww,10,-39.3264,-74.9067,146,WNW,"Corral, Chile","27-12-2020 21:39",27,12,2020,Corral,Chile,"South America",21
14,"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,0,4,green,1,670,us,0,6.024,30,mww,181,-16.1985,167.998,62,E,"Lakatoro, Vanuatu","31-07-2019 15:02",31,7,2019,Lakatoro,Vanuatu,Oceania,15
15,"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,5,5,green,1,833,us,149,1.865,21,mww,37,-19.2918,-172.129,205,ESE,"Neiafu, Tonga","11-11-2022 10:48",11,11,2022,Neiafu,Tonga,Oceania,10
16,"M 7.0 - 13 km NNE of Neon Karlovasion, Greece",7,8,7,orange,0,1527,us,0,1.518,18,mww,21,37.8973,26.7953,13,NNE,"Neon Karlovasion, Greece","30-10-2020 11:51",30,10,2020,"Neon Karlovasion",Greece,Europe,11
17,"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,7,7,green,1,809,us,0,1.504,38,mww,18.98,-0.5858,128.034,93,NNE,"Laiwui, Indonesia","14-07-2019 09:10",14,7,2019,Laiwui,Indonesia,Asia,9
18,"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,9,7,yellow,1,1165,us,0,0.23,36,mww,28.37,54.662,-159.675,99,SE,"Sand Point, Alaska","19-10-2020 20:54",19,10,2020,"Sand Point",US,"North America",20
